TRACK NUMBER,frame number,x,y,,intensity
1,1,41.51220872,57.03752523,,2313.105347
1,2,42.18518579,56.60175349,,3147.512085
1,3,42.10296529,56.70608654,,1805.005371
1,4,42.21278147,56.95599393,,2287.806641
1,5,41.38426457,56.66232361,,2472.346802
1,6,42.21212536,56.54149589,,1923.690796
1,7,41.62237154,56.68370297,,3152.602905
1,8,41.79168246,56.37806275,,2505.202271
1,9,41.88294488,56.55481258,,3424.329712
1,10,41.44731401,56.23832289,,1016.980591
1,11,42.16538174,56.47242717,,2823.586182
1,12,41.30315998,56.42389932,,3510.033081
1,13,41.96387641,56.30840966,,1259.524292
1,14,41.80852654,56.31128332,,1333.914917
1,15,41.54154446,56.34257868,,1496.727173
1,16,41.79210491,56.70312623,,2182.639404
1,17,41.52968209,56.01007944,,2025.510864
1,18,42.06491316,56.25063337,,3040.314941
1,19,41.59020266,56.24491256,,3665.128906
1,20,40.92769019,56.50155344,,1310.210815
1,21,41.51831192,56.51026008,,2922.770874
1,22,41.07117887,56.35268543,,2700.254272
1,23,41.0283159,57.0087777,,1846.735718
1,24,41.55886888,56.31513536,,1565.925171
1,25,41.76544859,55.81872296,,2512.554199
1,26,41.85028046,56.17257502,,1974.298462
1,27,41.90921924,56.15862162,,2105.621338
1,28,41.73955166,56.17954876,,2771.292603
1,29,41.06453155,56.03840756,,1444.064819
1,30,41.97397254,55.99162463,,2444.505493
1,31,42.02870119,55.36242791,,4275.094849
1,32,42.23765039,56.04347728,,3174.006836
1,33,41.91781925,55.69541412,,2913.34668
1,34,41.88479445,55.53969834,,4010.655884
1,35,43.76177238,54.29031077,,3679.957886
1,36,43.55997029,54.19167423,,4426.906128
1,37,43.61304322,54.0476027,,3866.673096
1,38,44.04298146,52.54418335,,2119.660156
1,39,43.86680936,51.8284404,,1209.588257
1,40,43.37020255,52.06555821,,2783.631104
1,41,43.26180571,52.61948207,,2847.790283
1,42,42.72404575,50.53618798,,1501.66333
1,43,43.30756287,50.99936055,,1170.595581
1,44,42.00942754,52.23900695,,2413.607666
1,45,42.0703639,52.24515762,,3765.235474
1,46,42.12558582,53.02596803,,2829.086914
1,47,43.53883132,52.62745746,,2510.539063
1,48,44.70277895,53.52766906,,4545.526001
1,49,45.37857104,53.93054901,,5776.355347
1,50,46.26266642,53.95436634,,3250.741821
1,51,46.07939451,54.22285674,,5462.747681
1,52,45.64284692,54.09681729,,4401.413574
1,53,44.26029295,53.41616123,,2261.596924
1,54,43.40692509,52.90110072,,3247.662964
1,55,42.90633788,53.14138418,,1933.39563
1,56,43.43504019,53.34349243,,1830.969971
1,57,43.13042045,53.44005344,,2929.188843
1,58,43.29279387,52.42567305,,1464.925293
1,59,43.64269819,52.77700909,,2488.720947
1,60,44.1775108,52.5924717,,2525.217041
1,61,44.07917042,53.42421617,,2295.12561
1,62,43.96397365,53.68204038,,3464.105103
1,63,43.61417443,54.39330499,,3354.368896
1,64,44.23859856,54.57462681,,5148.272339
1,65,45.24587636,54.65555618,,4184.542236
1,66,45.32138083,53.44483707,,4172.555908
1,67,46.54070882,52.49568535,,3815.151611
1,68,47.03866574,53.61835475,,3394.56958
1,69,48.23900914,53.622422,,4014.733398
1,70,48.92699426,53.37900406,,2730.187012
1,71,48.18456046,53.35324375,,5020.886963
1,72,47.67957495,53.31146307,,4427.408447
1,73,46.34744845,52.89342482,,2573.273315
1,74,45.8357722,53.32774751,,3565.601685
1,75,44.48005737,54.11438521,,5039.751343
1,76,44.39934161,53.59382748,,4250.930298
1,77,44.65123531,53.79424756,,3350.32019
1,78,46.01893663,53.37437711,,3869.137695
1,79,45.48042965,52.69174143,,3467.231079
1,80,45.71329366,53.16918579,,3446.06958
1,81,44.93683232,53.41142791,,4290.891602
1,82,44.4425834,52.69256625,,1049.560791
1,83,42.75846351,52.68983589,,2790.377197
1,84,41.09752352,51.30567778,,3389.465698
1,85,41.74892065,50.5252729,,3833.869995
1,86,42.68858243,50.09253554,,2375.978271
1,87,42.83840516,50.98678015,,2812.18335
1,88,43.09226105,51.67321414,,1896.151489
1,89,43.24875694,53.04430717,,2312.695557
1,90,42.8307717,54.3573777,,5488.824829
1,91,43.14334305,53.32708175,,4458.997314
1,92,41.78822142,50.83531685,,4462.019653
1,93,40.40279031,51.35212732,,5155.865234
1,94,41.95803728,50.4523008,,6168.171753
1,95,40.41571263,50.21082071,,5777.258789
1,96,41.74478673,50.07714086,,5033.581299
1,97,42.43265595,51.35361398,,3288.721436
1,98,40.41133433,52.35440094,,5840.17749
